config_id,run_id,parameter,value,status,stopping_condition,test_rmse,train_time,model_source
0,0,batch_size,16,success,val_loss_stagnation,0.00932998867659686,187.78756999969482,finished
0,1,batch_size,16,success,val_loss_stagnation,0.009811318259658,221.51230096817017,finished
0,2,batch_size,16,success,val_loss_stagnation,0.010364242603138707,206.56854271888733,finished
0,3,batch_size,16,success,val_loss_stagnation,0.00971747082647278,170.85417008399963,finished
0,4,batch_size,16,success,val_loss_stagnation,0.010196055827212452,178.04089522361755,finished
0,5,batch_size,16,success,val_loss_stagnation,0.009601855848169945,171.76745223999023,finished
0,6,batch_size,16,success,val_loss_stagnation,0.009515406035446348,165.98491954803467,finished
0,7,batch_size,16,success,val_loss_stagnation,0.009476154534307382,202.48433184623718,finished
1,0,batch_size,128,success,val_loss_stagnation,0.007097794562982238,571.8356895446777,finished
1,1,batch_size,128,success,val_loss_stagnation,0.008344853810361886,524.8320195674896,finished
1,2,batch_size,128,success,val_loss_stagnation,0.008380188882031254,471.65904355049133,finished
1,3,batch_size,128,success,val_loss_stagnation,0.007742452259642376,639.476455450058,finished
1,4,batch_size,128,success,val_loss_stagnation,0.00847676752484065,596.8522605895996,finished
1,5,batch_size,128,success,val_loss_stagnation,0.007841374930699346,571.1475760936737,finished
1,6,batch_size,128,success,val_loss_stagnation,0.007471033820639533,643.6678216457367,finished
1,7,batch_size,128,success,val_loss_stagnation,0.008617147763225828,595.0719940662384,finished
2,0,batch_size,256,success,val_loss_stagnation,0.00637830603963811,1118.1248092651367,finished
2,1,batch_size,256,success,val_loss_stagnation,0.006763112453662908,1394.5481805801392,finished
2,2,batch_size,256,success,val_loss_stagnation,0.007031686030152989,1202.8269293308258,finished
2,3,batch_size,256,success,val_loss_stagnation,0.00666419137875242,1301.5221247673035,finished
2,4,batch_size,256,success,val_loss_stagnation,0.0068450364752635166,1230.5362141132355,finished
2,5,batch_size,256,success,val_loss_stagnation,0.007215817527354524,1345.2778177261353,finished
2,6,batch_size,256,success,val_loss_stagnation,0.007237807877645403,979.8759698867798,finished
2,7,batch_size,256,success,val_loss_stagnation,0.007254341469992549,1384.2856295108795,finished
3,0,batch_size,32,success,val_loss_stagnation,0.008273115714905627,295.1616516113281,finished
3,1,batch_size,32,success,val_loss_stagnation,0.00938907222207261,252.7256100177765,finished
3,2,batch_size,32,success,val_loss_stagnation,0.009213526445443727,258.0540430545807,finished
3,3,batch_size,32,success,val_loss_stagnation,0.0091133017769149,250.4792881011963,finished
3,4,batch_size,32,success,val_loss_stagnation,0.009161635259948793,229.70505380630493,finished
3,5,batch_size,32,success,val_loss_stagnation,0.009117453216817869,236.12193942070007,finished
3,6,batch_size,32,success,val_loss_stagnation,0.008835493987203092,236.12739372253418,finished
3,7,batch_size,32,success,val_loss_stagnation,0.009192990027725494,229.66986513137817,finished
4,0,batch_size,8,success,val_loss_stagnation,0.009839456450150065,162.6188759803772,finished
4,1,batch_size,8,success,val_loss_stagnation,0.010827374792906559,158.30783343315125,finished
4,2,batch_size,8,success,val_loss_stagnation,0.010509358704484908,180.0064673423767,finished
4,3,batch_size,8,success,val_loss_stagnation,0.010091094947245072,177.41517090797424,finished
4,4,batch_size,8,success,val_loss_stagnation,0.010848180645958825,159.26964569091797,finished
4,5,batch_size,8,success,val_loss_stagnation,0.010175746195687436,172.39652156829834,finished
4,6,batch_size,8,success,val_loss_stagnation,0.010094184207115723,158.00742888450623,finished
4,7,batch_size,8,success,val_loss_stagnation,0.010426702692051796,163.01128792762756,finished
5,0,batch_size,64,success,val_loss_stagnation,0.00786773531471483,335.71720004081726,finished
5,1,batch_size,64,success,val_loss_stagnation,0.0089097515261826,337.4336082935333,finished
5,2,batch_size,64,success,val_loss_stagnation,0.009026632304157924,335.72213792800903,finished
5,3,batch_size,64,success,val_loss_stagnation,0.008913148777040915,322.80658507347107,finished
5,4,batch_size,64,success,val_loss_stagnation,0.009053874510069178,307.82758474349976,finished
5,5,batch_size,64,success,val_loss_stagnation,0.008692074016315192,333.77366638183594,finished
5,6,batch_size,64,success,val_loss_stagnation,0.008233213805502735,345.9944655895233,finished
5,7,batch_size,64,success,val_loss_stagnation,0.008865606983483973,349.1220178604126,finished
