config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol
2,0,success,0.0063783060396381,5.341213608436378e-05,1118.1248092651367,1301,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,3,success,0.0066641913787524,4.5382216737763526e-05,1301.5221247673037,1451,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,1,success,0.0067631124536629,4.58820063760752e-05,1394.5481805801392,1551,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,4,success,0.0068450364752635,4.179300670423055e-05,1230.5362141132357,1401,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,2,success,0.0070316860301529,4.751015930801669e-05,1202.8269293308258,1351,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,0,success,0.0070977945629822,6.703951459227482e-05,571.8356895446777,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,5,success,0.0072158175273545,5.7072127065785545e-05,1345.2778177261353,1301,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,6,success,0.0072378078776454,5.0456078313064095e-05,979.8759698867798,1101,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,7,success,0.0072543414699925,4.673184030140224e-05,1384.2856295108795,1301,val_loss_stagnation,73,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,6,success,0.0074710338206395,5.294233829752936e-05,643.6678216457367,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,3,success,0.0077424522596423,5.931449927116276e-05,639.476455450058,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,5,success,0.0078413749306993,6.228797782496792e-05,571.1475760936737,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,0,success,0.0078677353147148,8.20357056671307e-05,335.71720004081726,1251,val_loss_stagnation,73,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,6,success,0.0082332138055027,6.340756000924712e-05,345.9944655895233,1251,val_loss_stagnation,73,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,0,success,0.0082731157149056,9.029771918537164e-05,295.1616516113281,1501,val_loss_stagnation,73,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,1,success,0.0083448538103618,7.035833141987651e-05,524.8320195674896,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,2,success,0.0083801888820312,6.513309093818203e-05,471.6590435504913,1051,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,4,success,0.0084767675248406,6.673977179551041e-05,596.8522605895996,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,7,success,0.0086171477632258,6.460231872759548e-05,595.0719940662384,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,5,success,0.0086920740163151,7.471567711711084e-05,333.77366638183594,1251,val_loss_stagnation,73,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,6,success,0.008835493987203,7.484059831407287e-05,236.12739372253415,1301,val_loss_stagnation,73,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,7,success,0.0088656069834839,7.082942504469796e-05,349.1220178604126,1301,val_loss_stagnation,73,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,1,success,0.0089097515261826,8.03953685731769e-05,337.4336082935333,1251,val_loss_stagnation,73,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
