config_id,run_id,parameter,value,status,stopping_condition,test_rmse,train_time,model_source
0,0,batch_size,128,success,val_loss_stagnation,0.008051815729409429,462.8089106082916,finished
0,1,batch_size,128,success,val_loss_stagnation,0.008212693817417573,555.8472561836243,finished
0,2,batch_size,128,success,val_loss_stagnation,0.008908510707655323,436.58179450035095,finished
0,3,batch_size,128,success,val_loss_stagnation,0.00861356476762541,455.4909555912018,finished
0,4,batch_size,128,success,val_loss_stagnation,0.007338106460781456,526.4177589416504,finished
0,5,batch_size,128,success,val_loss_stagnation,0.008107028024321518,502.40247225761414,finished
0,6,batch_size,128,success,val_loss_stagnation,0.008535066358212695,423.6449284553528,finished
0,7,batch_size,128,success,val_loss_stagnation,0.00807673396342524,529.4943656921387,finished
1,0,batch_size,32,success,val_loss_stagnation,0.008989556780470765,196.31637501716614,finished
1,1,batch_size,32,success,val_loss_stagnation,0.008828752127495938,248.0869104862213,finished
1,2,batch_size,32,success,val_loss_stagnation,0.009506484826350475,205.37510657310486,finished
1,3,batch_size,32,success,val_loss_stagnation,0.008919468807870829,208.2994282245636,finished
1,4,batch_size,32,success,val_loss_stagnation,0.008908491184404514,194.26149153709412,finished
1,5,batch_size,32,success,val_loss_stagnation,0.009099360228858655,205.49289727210999,finished
1,6,batch_size,32,success,val_loss_stagnation,0.009091905124135708,203.41498351097107,finished
1,7,batch_size,32,success,val_loss_stagnation,0.009457446993197918,203.3493254184723,finished
2,0,batch_size,16,success,val_loss_stagnation,0.00918225375356766,169.98287391662598,finished
2,1,batch_size,16,success,val_loss_stagnation,0.009467069976766034,183.85693454742432,finished
2,2,batch_size,16,success,val_loss_stagnation,0.010172144670048082,150.26643347740173,finished
2,3,batch_size,16,success,val_loss_stagnation,0.009431096569068164,174.7992012500763,finished
2,4,batch_size,16,success,val_loss_stagnation,0.009435672572286804,161.04000782966614,finished
2,5,batch_size,16,success,val_loss_stagnation,0.009704785563041532,161.50618505477905,finished
2,6,batch_size,16,success,val_loss_stagnation,0.009635206530498945,168.59749579429626,finished
2,7,batch_size,16,success,val_loss_stagnation,0.009858773669639123,173.20975923538208,finished
3,0,batch_size,64,success,val_loss_stagnation,0.008268502598998376,345.9235236644745,finished
3,1,batch_size,64,success,val_loss_stagnation,0.008547062510744285,328.066508769989,finished
3,2,batch_size,64,success,val_loss_stagnation,0.00896861505009744,306.22165989875793,finished
3,3,batch_size,64,success,val_loss_stagnation,0.008212437435001656,338.35875153541565,finished
3,4,batch_size,64,success,val_loss_stagnation,0.007789715283596545,318.8693776130676,finished
3,5,batch_size,64,success,val_loss_stagnation,0.008844233408577502,297.63667345046997,finished
3,6,batch_size,64,success,val_loss_stagnation,0.00840916087556568,321.2734913825989,finished
3,7,batch_size,64,success,val_loss_stagnation,0.00890371968977386,285.8171594142914,finished
4,0,batch_size,500,success,val_loss_stagnation,0.005816239480418158,2876.4073832035065,finished
4,1,batch_size,500,success,val_loss_stagnation,0.00664411054056507,2946.5601847171783,finished
4,2,batch_size,500,success,val_loss_stagnation,0.006779069742580982,2176.869207382202,finished
4,3,batch_size,500,success,val_loss_stagnation,0.00770216703149101,2499.7297756671906,finished
4,4,batch_size,500,success,val_loss_stagnation,0.006319296888643412,2558.7956738471985,finished
4,5,batch_size,500,success,val_loss_stagnation,0.006510310925390727,2163.104937314987,finished
4,6,batch_size,500,success,val_loss_stagnation,0.006571366525859804,2132.077883005142,finished
4,7,batch_size,500,success,val_loss_stagnation,0.007150527127807043,2381.516780614853,finished
5,0,batch_size,256,success,val_loss_stagnation,0.007041171393697918,1244.4832518100739,finished
5,1,batch_size,256,success,val_loss_stagnation,0.007681729116321052,1447.9260494709015,finished
5,2,batch_size,256,success,val_loss_stagnation,0.008310068359394284,1267.1341621875763,finished
5,3,batch_size,256,success,val_loss_stagnation,0.007615697672529038,1295.8771908283234,finished
5,4,batch_size,256,success,val_loss_stagnation,0.00718652467377142,1117.5767195224762,finished
5,5,batch_size,256,success,val_loss_stagnation,0.007246752972091027,1290.4248309135437,finished
5,6,batch_size,256,success,val_loss_stagnation,0.007453951244016571,1318.3978071212769,finished
5,7,batch_size,256,success,val_loss_stagnation,0.008257563904151131,1117.547381401062,finished
6,0,batch_size,192,success,val_loss_stagnation,0.0074665673774419634,900.7108645439148,finished
6,1,batch_size,192,success,val_loss_stagnation,0.008040244231456523,987.9846489429474,finished
6,2,batch_size,192,success,val_loss_stagnation,0.008385689983118366,554.9001979827881,finished
6,3,batch_size,192,success,val_loss_stagnation,0.007738339621860039,802.3061645030975,finished
6,4,batch_size,192,success,val_loss_stagnation,0.007692843624498712,715.4706420898438,finished
6,5,batch_size,192,success,val_loss_stagnation,0.007748937267653396,888.2219138145447,finished
6,6,batch_size,192,success,val_loss_stagnation,0.007622827265457077,624.3818998336792,finished
6,7,batch_size,192,success,val_loss_stagnation,0.0084495769134196,807.3282611370087,finished
7,0,batch_size,320,success,val_loss_stagnation,0.007319582438635406,1623.9421446323395,finished
7,1,batch_size,320,success,val_loss_stagnation,0.008084059690861173,1247.8914439678192,finished
7,2,batch_size,320,success,val_loss_stagnation,0.008047526271132687,1279.6678516864777,finished
7,3,batch_size,320,success,val_loss_stagnation,0.007908661959542769,1154.469470024109,finished
7,4,batch_size,320,success,val_loss_stagnation,0.00712602121049587,1486.461721420288,finished
7,5,batch_size,320,success,val_loss_stagnation,0.007977465728607115,1236.6929533481598,finished
7,6,batch_size,320,success,val_loss_stagnation,0.007522068930221007,848.5685632228851,finished
7,7,batch_size,320,success,val_loss_stagnation,0.007945864979673395,977.5156865119934,finished
