batch_size,width_NODE,status,test_rmse,train_time
128,64,success,0.005084164523700277,1536.0105974674225
128,64,success,0.0055015462718636995,1568.7441215515137
128,64,success,0.005397469659953512,1654.348887681961
128,256,success,0.0049625713995054815,3854.589548110962
128,256,success,0.00541304921824165,2562.7075457572937
128,256,success,0.004784822777796297,4565.51210474968
192,64,success,0.004989281140258416,1141.0638341903687
192,64,success,0.005500260388258399,1538.7956745624542
192,64,success,0.005421639940759883,1633.0287697315216
300,256,success,0.004916526456348481,4108.493536949158
300,256,success,0.004952936201574096,10800.944501161575
300,256,success,0.004954617133190951,10802.122978925705
500,192,success,0.004668853049113536,5955.204698562622
500,192,success,0.00486744508192103,6041.3865213394165
500,192,success,0.004635522681640836,10803.977137804031
64,256,success,0.00498681288515591,1291.7946302890778
64,256,success,0.005505916094082705,2180.6973543167114
64,256,success,0.005329386710097476,1684.8838424682617
16,64,success,0.005387379924851903,582.5962748527527
16,64,success,0.0057803588761668806,828.1164033412933
16,64,success,0.005684746119352877,660.2783725261688
300,64,success,0.005091496445512092,2882.589233160019
300,64,success,0.0054377055711452,2249.3859298229218
300,64,success,0.00535644254982679,1912.9574182033539
256,256,success,0.00491987102709185,3987.7777287960052
256,256,success,0.004812816836389443,5271.142809152603
256,256,success,0.004245872800067818,10800.51766204834
32,512,success,0.004955009842190891,2411.792226076126
32,512,success,0.005562794305126045,2427.8585681915283
32,512,success,0.005451964137018461,1278.2661671638489
64,512,success,0.0048485228843739014,2128.0932664871216
64,512,success,0.004944019734990086,3537.4110174179077
64,512,success,0.004307445375352104,6238.010734081268
192,128,success,0.0049571332118648215,1342.1897587776184
192,128,success,0.005441793243738097,2837.1810705661774
192,128,success,0.00536477453410217,2440.2166278362274
32,192,success,0.004962715319115586,929.4001708030701
32,192,success,0.005489072795548527,986.3616855144501
32,192,success,0.00537436518197673,750.3360676765442
256,64,success,0.004977533377960347,1620.3258790969849
256,64,success,0.005342089514745801,4352.788597583771
256,64,success,0.005360541445974823,3649.971789121628
32,64,success,0.005118261743564653,642.541214466095
32,64,success,0.0056444262404213375,712.0642666816711
32,64,success,0.005553063087864746,733.3318965435028
128,192,success,0.004968907507344962,1877.7980666160583
128,192,success,0.0052072541861248375,2137.9684596061707
128,192,success,0.005292464172294312,2405.248369216919
256,192,success,0.004957327446285831,2096.921933412552
256,192,success,0.005252056126441556,4368.70285820961
256,192,success,0.004276512001051349,10801.319714069366
64,64,success,0.005066866207914663,731.5202023983002
64,64,success,0.0055352930102132575,900.1372809410095
64,64,success,0.005490578804511771,1212.4609758853912
500,256,success,0.0043273417558702424,10801.149627685547
500,256,success,0.004920887139586335,10803.199611663818
500,256,success,0.004524427459533066,10800.805040359497
500,512,success,0.004460177194927655,10800.626188516617
500,512,success,0.005250048266039858,10800.299927949905
500,512,success,0.0047704392204871195,10802.654263734818
32,256,success,0.0049987331883074625,839.7349982261658
32,256,success,0.005415834258062981,834.8229718208313
32,256,success,0.005396886988444576,880.1178455352783
16,128,success,0.005004902765366689,649.0751304626465
16,128,success,0.005589210336047152,595.7650740146637
16,128,success,0.005446447608408115,495.9583685398102
16,192,success,0.005261982138314181,425.4408347606659
16,192,success,0.005579662423110476,456.8033695220947
16,192,success,0.005446442239877328,559.0618159770966
128,512,success,0.004928048764207947,5867.497395038605
128,512,success,0.005090431872937394,5640.612010717392
128,512,success,0.004251910302765206,10800.92222905159
192,192,success,0.0049672324071302395,2019.4935946464539
192,192,success,0.005054645062476232,3073.04376745224
192,192,success,0.004388108782059632,8844.214361906052
300,192,success,0.004995666585730495,2059.0846486091614
300,192,success,0.005194414987246047,8145.808480262756
300,192,success,0.005215788524454205,6250.231598615646
500,128,success,0.004997326087723194,6832.094644784927
500,128,success,0.004918440226007111,10800.140530347824
500,128,success,0.004295030523421499,6079.996163606644
256,512,success,0.004246576814200591,10801.447237253189
256,512,success,0.005098556850799583,6999.649521350861
256,512,success,0.004437245728447657,10802.393909692764
64,128,success,0.004980198286658743,1005.6898057460785
64,128,success,0.005467270560390715,994.4021503925323
64,128,success,0.005420157981525608,1248.3037931919098
16,256,success,0.004979968992970182,531.320990562439
16,256,success,0.005512234778896913,567.8120074272156
16,256,success,0.005438109273592357,850.5406701564789
32,128,success,0.005035375411025791,781.12264585495
32,128,success,0.005464883304929871,600.8348271846771
32,128,success,0.005462561298779051,564.6768951416016
16,512,success,0.004994736162403359,591.5871739387512
16,512,success,0.005536251010092929,648.0382013320923
16,512,success,0.005499815634392669,1247.575442790985
64,192,success,0.004968903838107607,1066.2465574741364
64,192,success,0.005469984103135595,954.9531400203705
64,192,success,0.005272913298544007,950.1501867771149
192,256,success,0.004985983762177948,1997.0008444786072
192,256,success,0.004928735801759751,3626.6854317188263
192,256,success,0.004265295107977638,6477.029285430908
300,512,success,0.004293832696352724,10801.1138381958
300,512,success,0.004989340054257439,10800.367394208908
300,512,success,0.004307478743203378,10801.091146230698
300,128,success,0.004831759457479613,2378.436638355255
300,128,success,0.004809631799506609,10192.46308517456
300,128,success,0.0042795664122021035,10113.529941797256
500,64,success,0.005028904447296062,4976.613636732101
500,64,success,0.00531809587897216,6774.746700763702
500,64,success,0.004471048044969602,10800.212713241577
256,128,success,0.0049255980324301165,1783.9475393295288
256,128,success,0.005359863837150768,3176.856602907181
256,128,success,0.005299009136821745,2261.348306655884
192,512,success,0.004324382757969364,10800.921745300293
192,512,success,0.004934324514273968,5899.098186969757
192,512,success,0.0047466602196440675,10800.400524139404
128,128,success,0.004932803764935341,1321.2018563747406
128,128,success,0.00540831971360473,1435.1586563587189
128,128,success,0.005334860375594834,1444.9340977668762
