batch_size,width_NODE,test_rmse,train_time,success_rate
16,64,0.005617494973457221,690.3303502400717,1.0
16,128,0.0053468535699406515,580.2661910057068,1.0
16,192,0.005429362267100662,480.4353400866191,1.0
16,256,0.005310104348486483,649.8912227153778,1.0
16,512,0.0053436009356296514,829.0669393539429,1.0
32,64,0.005438583690616912,695.9791258970896,1.0
32,128,0.005320940004911571,648.8781227270762,1.0
32,192,0.005275384432213614,888.6993079980215,1.0
32,256,0.005270484811605007,851.5586051940918,1.0
32,512,0.005323256094778466,2039.305653810501,1.0
64,64,0.005364246007546564,948.0394864082336,1.0
64,128,0.005289208942858355,1082.7985831101735,1.0
64,192,0.00523726707992907,990.4499614238739,1.0
64,256,0.00527403856311203,1719.1252756913502,1.0
64,512,0.004699995998238698,3967.838339328766,1.0
128,64,0.00532772681850583,1586.367868900299,1.0
128,128,0.005225327951378302,1400.4315368334453,1.0
128,192,0.00515620862192137,2140.338298479716,1.0
128,256,0.00505348113184781,3660.936399539312,1.0
128,512,0.004756796979970182,7436.343878269196,1.0
192,64,0.0053037271564255655,1437.6294261614482,1.0
192,128,0.005254566996568362,2206.529152393341,1.0
192,192,0.004803328750555368,4645.583908001582,1.0
192,256,0.004726671557305113,4033.571853876114,1.0
192,512,0.004668455830629133,9166.806818803152,1.0
256,64,0.00522672144622699,3207.695421934128,1.0
256,128,0.005194823668800877,2407.3841496308646,1.0
256,192,0.004828631857926245,5755.648168563843,1.0
256,256,0.004659520221183037,6686.479399998982,1.0
256,512,0.00459412646448261,9534.496889432272,1.0
300,64,0.0052952148554946945,2348.3108603954315,1.0
300,128,0.004640319223062775,7561.476555109024,1.0
300,192,0.005135290032476915,5485.041575829188,1.0
300,256,0.004941359930371176,8570.520339012146,1.0
300,512,0.004530217164604514,10800.857459545135,1.0
500,64,0.004939349457079275,7517.19101691246,1.0
500,128,0.004736932279050601,7904.077112913132,1.0
500,192,0.004723940270891801,7600.18945256869,1.0
500,256,0.004590885451663214,10801.718093236288,1.0
500,512,0.004826888227151545,10801.193460067114,1.0
