config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol,error,output_dir,recovered_checkpoint,prediction_file
0,0,success,0.0050841645237002,2.9379193018330368e-05,1536.0105974674225,3051,val_loss_stagnation,64,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
0,1,success,0.0055015462718637,2.492335993841191e-05,1568.7441215515137,3151,val_loss_stagnation,64,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
0,2,success,0.0053974696599535,2.546603704411685e-05,1654.348887681961,3601,val_loss_stagnation,64,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
1,0,success,0.0049625713995054,2.9168990992620985e-05,3854.589548110962,2201,val_loss_stagnation,256,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
1,1,success,0.0054130492182416,2.4408770258813865e-05,2562.7075457572937,2051,val_loss_stagnation,256,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
1,2,success,0.0047848227777962,2.3816151998581727e-05,4565.51210474968,4451,val_loss_stagnation,256,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
2,0,success,0.0049627153191155,2.894077882795055e-05,929.40017080307,3501,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
2,1,success,0.0054890727955485,2.499658416555222e-05,986.36168551445,3651,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
2,2,success,0.0053743651819767,2.52182375038789e-05,750.3360676765442,3701,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
3,0,success,0.0049280487642079,2.9640087392382635e-05,5867.497395038605,1951,val_loss_stagnation,512,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
3,1,success,0.0050904318729373,2.224783539696156e-05,5640.612010717392,2851,val_loss_stagnation,512,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
3,2,success,0.0042519103027652,1.7085054464265458e-05,10800.92222905159,5718,timeout,512,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
4,0,success,0.0042938326963527,2.1597038904393e-05,10801.1138381958,3694,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
4,1,success,0.0049893400542574,2.201027644438934e-05,10800.367394208908,2208,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
4,2,success,0.0043074787432033,1.7572057356063828e-05,10801.091146230698,3670,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
5,0,success,0.0048317594574796,2.739020214477272e-05,2378.436638355255,2351,val_loss_stagnation,128,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
5,1,success,0.0048096317995066,2.117852837648604e-05,10192.46308517456,4501,val_loss_stagnation,128,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
5,2,success,0.0042795664122021,1.805413290853625e-05,10113.529941797256,6901,val_loss_stagnation,128,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
6,0,success,0.005028904447296,2.835617734838587e-05,4976.613636732101,1851,val_loss_stagnation,64,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
6,1,success,0.0053180958789721,2.4014132961416106e-05,6774.746700763702,2901,val_loss_stagnation,64,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
6,2,success,0.0044710480449696,1.961624265046696e-05,10800.212713241575,4680,timeout,64,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
7,0,success,0.0049255980324301,2.76160197969062e-05,1783.9475393295288,2001,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
7,1,success,0.0053598638371507,2.382753529837381e-05,3176.856602907181,2151,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
7,2,success,0.0052990091368217,2.4609045771012625e-05,2261.348306655884,2551,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
8,0,success,0.0043243827579693,2.1781870221560915e-05,10800.921745300291,4137,timeout,512,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
8,1,success,0.0049343245142739,2.172171558200664e-05,5899.098186969757,2801,val_loss_stagnation,512,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
8,2,success,0.004746660219644,2.069810998000218e-05,10800.400524139404,2670,timeout,512,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
9,0,success,0.0049328037649353,2.8228307946868995e-05,1321.2018563747406,2601,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
9,1,success,0.0054083197136047,2.425835485442911e-05,1435.1586563587189,2601,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
9,2,success,0.0053348603755948,2.538590002596397e-05,1444.9340977668762,2751,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
10,0,success,0.0049892811402584,2.912350695751079e-05,1141.0638341903689,2951,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
10,1,success,0.0055002603882584,2.4692715562692792e-05,1538.7956745624542,2951,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
10,2,success,0.0054216399407598,2.581415824994576e-05,1633.0287697315216,3801,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
11,0,success,0.0049165264563484,2.816761558540104e-05,4108.493536949158,1851,val_loss_stagnation,256,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
11,1,success,0.004952936201574,2.191582711573408e-05,10800.944501161575,3345,timeout,256,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
11,2,success,0.0049546171331909,2.1928739901263404e-05,10802.122978925703,2881,timeout,256,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
12,0,success,0.0046688530491135,2.72820190580211e-05,5955.204698562622,2401,val_loss_stagnation,192,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
12,1,success,0.004867445081921,2.112719454147688e-05,6041.3865213394165,3351,val_loss_stagnation,192,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
12,2,success,0.0046355226816408,2.0467165585681454e-05,10803.977137804031,2993,timeout,192,1,True,0.1,500,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
13,0,success,0.0049868128851559,2.9028056051715424e-05,1291.7946302890778,2601,val_loss_stagnation,256,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
13,1,success,0.0055059160940827,2.5346007600395737e-05,2180.6973543167114,2301,val_loss_stagnation,256,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
13,2,success,0.0053293867100974,2.4382477939107976e-05,1684.8838424682615,3451,val_loss_stagnation,256,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
14,0,success,0.0053873799248519,3.39333086011468e-05,582.5962748527527,6701,val_loss_stagnation,64,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
14,1,success,0.0057803588761668,2.818656019714536e-05,828.1164033412933,8151,val_loss_stagnation,64,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
14,2,success,0.0056847461193528,2.982914055790072e-05,660.2783725261688,7551,val_loss_stagnation,64,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
15,0,success,0.005091496445512,2.8606692915381083e-05,2882.589233160019,2301,val_loss_stagnation,64,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
15,1,success,0.0054377055711452,2.426480240354957e-05,2249.3859298229218,3351,val_loss_stagnation,64,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
15,2,success,0.0053564425498267,2.559720603450467e-05,1912.9574182033537,3151,val_loss_stagnation,64,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
16,0,success,0.0049198710270918,2.810732449374358e-05,3987.777728796005,1851,val_loss_stagnation,256,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
16,1,success,0.004812816836389443,2.0679989605700157e-05,5271.142809152603,3951,val_loss_stagnation,256,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_16/run_1,,
16,2,success,0.004245872800067817,1.7391860940304752e-05,10800.51766204834,5261,timeout,256,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_16/run_2,,
17,0,success,0.0049550098421908,2.9105669454350465e-05,2411.792226076126,2401,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
17,1,success,0.005562794305126,2.557407199252338e-05,2427.8585681915283,2701,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
17,2,success,0.0054519641370184,2.517332790447642e-05,1278.2661671638489,2951,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
18,0,success,0.0048485228843739,2.876436569720116e-05,2128.0932664871216,2301,val_loss_stagnation,512,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
18,1,success,0.00494401973499,2.185776867224549e-05,3537.411017417908,4001,val_loss_stagnation,512,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
18,2,success,0.004307445375352103,1.816301018446168e-05,6238.010734081268,6901,val_loss_stagnation,512,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_18/run_2,,
19,0,success,0.0049571332118648,2.767104792666321e-05,1342.1897587776184,2051,val_loss_stagnation,128,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
19,1,success,0.005441793243738,2.467388671749512e-05,2837.1810705661774,2151,val_loss_stagnation,128,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
19,2,success,0.0053647745341021,2.510692000587919e-05,2440.2166278362274,2951,val_loss_stagnation,128,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
20,0,success,0.0049775333779603,2.854496582923732e-05,1620.3258790969849,2501,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
20,1,success,0.0053420895147458,2.3432825173569592e-05,4352.788597583771,3351,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
20,2,success,0.0053605414459748,2.529629121085823e-05,3649.971789121628,3251,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
21,0,success,0.0051182617435646,3.009785313895863e-05,642.541214466095,5351,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
21,1,success,0.0056444262404213,2.6428706876183484e-05,712.0642666816711,5901,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
21,2,success,0.0055530630878647,2.801628829135033e-05,733.3318965435028,5751,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
22,0,success,0.0049689075073449,2.843051126642416e-05,1877.7980666160583,2351,val_loss_stagnation,192,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,,,
22,1,success,0.005207254186124839,2.2726333673447175e-05,2137.9684596061707,3551,val_loss_stagnation,192,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_22/run_1,,
22,2,success,0.005292464172294311,2.4484870937768805e-05,2405.248369216919,3051,val_loss_stagnation,192,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_22/run_2,,
23,0,success,0.004957327446285832,2.7976691930342034e-05,2096.921933412552,1851,val_loss_stagnation,192,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_23/run_0,,
23,1,success,0.005252056126441556,2.3056579753919318e-05,4368.70285820961,2801,val_loss_stagnation,192,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06,,Experiments/Parameter_tuning/batch_size_vs_width/500_strains/config_23/run_1,,
