config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol
7,0,success,0.0045340043351858,2.4969375081766266e-05,1861.807686805725,5201,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,0,success,0.0050258987927071,3.060734641074255e-05,465.73557233810425,2501,val_loss_stagnation,128,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
18,1,success,0.0050282760893028,2.425591895743197e-05,708.3910887241364,2101,val_loss_stagnation,256,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,0,success,0.0050400983373424,3.010801191838734e-05,397.269299030304,3051,val_loss_stagnation,64,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,1,success,0.005045802531816,2.398340122929384e-05,510.6051301956177,3251,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,1,success,0.0050531653137605,2.390981455399516e-05,592.2575542926788,2401,val_loss_stagnation,128,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
16,1,success,0.0050765812229938,2.4328376878424456e-05,662.0360817909241,2501,val_loss_stagnation,256,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
19,0,success,0.0050890337174284,3.0961784232287525e-05,486.1310865879059,2051,val_loss_stagnation,192,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
19,1,success,0.005089133644302,2.4354037063436885e-05,1124.7173824310305,2101,val_loss_stagnation,192,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
7,1,success,0.0050942549065116,2.438880003023878e-05,774.4772911071777,2201,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
18,0,success,0.0051084274652812,3.124787666711338e-05,821.5416491031647,1901,val_loss_stagnation,256,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
9,0,success,0.0051187048519219,3.172566029701987e-05,407.83090806007385,3351,val_loss_stagnation,128,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
16,0,success,0.0051311054104682,3.182357148754711e-05,450.3539261817932,2501,val_loss_stagnation,256,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
20,1,success,0.0051341554317655,2.421768681658184e-05,1253.6763713359833,1551,val_loss_stagnation,512,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,1,success,0.0051478193733906,2.5150302989195604e-05,505.93381333351135,2951,val_loss_stagnation,64,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
21,1,success,0.005180829323272,2.535076676061566e-05,426.8587079048157,3651,val_loss_stagnation,256,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,0,success,0.0051897623322906,3.188899006794788e-05,394.986626625061,2601,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
18,2,success,0.0051940005794409,3.0518501869816506e-05,553.8057425022125,1701,val_loss_stagnation,256,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,2,success,0.0052094453216861,3.0271508648325623e-05,433.4657578468323,2101,val_loss_stagnation,128,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
8,1,success,0.0052124349691631,2.529076551169461e-05,455.9924185276032,3751,val_loss_stagnation,512,1,True,0.1,8,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
10,0,success,0.0052213081249257,3.209661521243031e-05,538.4680547714233,4201,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
19,2,success,0.0052230502038621,3.059554233073128e-05,589.2341618537903,1851,val_loss_stagnation,192,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
15,0,success,0.0052332827542464,3.276266945949263e-05,343.73830127716064,4001,val_loss_stagnation,256,1,True,0.1,8,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
21,0,success,0.0052351344996105,3.3076445355785046e-05,439.6202163696289,3451,val_loss_stagnation,256,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
9,1,success,0.0052528456520175,2.529183016375865e-05,374.0143506526947,2851,val_loss_stagnation,128,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
24,1,success,0.0052566552724513,2.5858597827707435e-05,483.8115997314453,2701,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
24,0,success,0.0052619411494691,3.309209663387051e-05,463.3800427913666,2751,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,2,success,0.0052725174446935,3.072467100928467e-05,465.7999222278595,2651,val_loss_stagnation,64,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
20,0,success,0.0052755627096302,3.3194406627395134e-05,1140.4851195812223,1501,val_loss_stagnation,512,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
10,1,success,0.0052816792971343,2.578501664208376e-05,490.4854388237,3901,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
13,1,success,0.0052990806392907,2.6054176800479643e-05,412.28784942626953,4051,val_loss_stagnation,192,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
17,1,success,0.0053352800391364,2.669361100907726e-05,440.2339291572571,3701,val_loss_stagnation,512,1,True,0.1,4,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
20,2,success,0.0053429265095151,3.271093409570442e-05,728.3905620574951,1451,val_loss_stagnation,512,1,True,0.1,50,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
16,2,success,0.0053526505598167,3.237307942331736e-05,496.19526958465576,2551,val_loss_stagnation,256,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,2,success,0.0053550704472825,3.18636082969953e-05,564.1184449195862,2801,val_loss_stagnation,192,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
8,0,success,0.0053591062658093,3.445495789370639e-05,427.85780334472656,3251,val_loss_stagnation,512,1,True,0.1,8,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
13,0,success,0.0053812374619219,3.486408890218935e-05,343.7991535663605,3451,val_loss_stagnation,192,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
7,2,success,0.005401664197042,3.3682602965654566e-05,698.7561979293823,1801,val_loss_stagnation,512,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
6,2,success,0.0054180322460151,3.30961415611867e-05,405.3147187232971,5351,val_loss_stagnation,192,1,True,0.1,8,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
24,2,success,0.0054236198456649,3.38302041597111e-05,479.749160528183,2851,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
