config_id,run_id,parameter,value,status,stopping_condition,test_rmse,train_time,model_source
0,0,dropout,0.1,success,val_loss_stagnation,0.007097794562982238,574.9780471324921,finished
0,1,dropout,0.1,success,val_loss_stagnation,0.008344853810361886,671.3916783332825,finished
0,2,dropout,0.1,success,val_loss_stagnation,0.00853144982851166,588.051840543747,finished
0,3,dropout,0.1,success,val_loss_stagnation,0.007742452259642376,865.8090088367462,finished
0,4,dropout,0.1,success,val_loss_stagnation,0.00847676752484065,558.7466065883636,finished
0,5,dropout,0.1,success,val_loss_stagnation,0.007871910138279798,720.3182220458984,finished
0,6,dropout,0.1,success,val_loss_stagnation,0.007471033820639533,692.2417092323303,finished
0,7,dropout,0.1,success,val_loss_stagnation,0.008617147763225828,781.1037120819092,finished
1,0,dropout,0.4,success,val_loss_stagnation,0.007647462607342014,690.8132538795471,finished
1,1,dropout,0.4,success,val_loss_stagnation,0.008751270651675235,806.7161145210266,finished
1,2,dropout,0.4,success,val_loss_stagnation,0.00832977251849266,700.8372905254364,finished
1,3,dropout,0.4,success,val_loss_stagnation,0.008237366945035166,692.3375163078308,finished
1,4,dropout,0.4,success,val_loss_stagnation,0.00886675303557994,809.4817807674408,finished
1,5,dropout,0.4,success,val_loss_stagnation,0.008216945439770019,637.8372378349304,finished
1,6,dropout,0.4,success,val_loss_stagnation,0.00819729233925758,674.6631441116333,finished
1,7,dropout,0.4,success,val_loss_stagnation,0.008471345602122784,743.7136178016663,finished
2,0,dropout,0.2,success,val_loss_stagnation,0.00756235491104505,590.6228532791138,finished
2,1,dropout,0.2,success,val_loss_stagnation,0.008208921343026067,591.5846357345581,finished
2,2,dropout,0.2,success,val_loss_stagnation,0.007861457087690952,675.7499010562897,finished
2,3,dropout,0.2,success,val_loss_stagnation,0.007845746415254477,689.960940361023,finished
2,4,dropout,0.2,success,val_loss_stagnation,0.008219297834367574,656.0069131851196,finished
2,5,dropout,0.2,success,val_loss_stagnation,0.0077197884600451365,689.4281644821167,finished
2,6,dropout,0.2,success,val_loss_stagnation,0.007666933221193203,626.4921188354492,finished
2,7,dropout,0.2,success,val_loss_stagnation,0.00838755889058661,763.0126078128815,finished
3,0,dropout,0.0,success,val_loss_stagnation,0.007491386242616497,540.2922205924988,finished
3,1,dropout,0.0,success,val_loss_stagnation,0.008857251387987392,381.24185824394226,finished
3,2,dropout,0.0,success,val_loss_stagnation,0.00889042242599216,505.1615912914276,finished
3,3,dropout,0.0,success,val_loss_stagnation,0.008382722675115193,457.2691628932953,finished
3,4,dropout,0.0,success,val_loss_stagnation,0.008271455466652904,488.1426680088043,finished
3,5,dropout,0.0,success,val_loss_stagnation,0.008679094844372149,484.8041121959686,finished
3,6,dropout,0.0,success,val_loss_stagnation,0.008064458384023546,635.3008465766907,finished
3,7,dropout,0.0,success,val_loss_stagnation,0.008401497129614147,606.3738210201263,finished
4,0,dropout,0.3,success,val_loss_stagnation,0.00732940772843164,725.6380460262299,finished
4,1,dropout,0.3,success,val_loss_stagnation,0.008129443439519452,677.1062662601471,finished
4,2,dropout,0.3,success,val_loss_stagnation,0.008380414769525096,632.6960654258728,finished
4,3,dropout,0.3,success,val_loss_stagnation,0.008252421038209832,593.1910343170166,finished
4,4,dropout,0.3,success,val_loss_stagnation,0.008727655817706058,541.4696099758148,finished
4,5,dropout,0.3,success,val_loss_stagnation,0.008122167578874196,591.7514231204987,finished
4,6,dropout,0.3,success,val_loss_stagnation,0.00806690250758495,617.0281071662903,finished
4,7,dropout,0.3,success,val_loss_stagnation,0.008384431053039704,642.843597650528,finished
