config_id,run_id,parameter,value,status,stopping_condition,test_rmse,train_time,model_source
0,0,rtol,0.01,success,completed,0.02446168527989789,582.4118294715881,finished
0,1,rtol,0.01,success,completed,0.017752691548157798,711.6711165904999,finished
0,2,rtol,0.01,success,completed,0.027687522076084554,544.3396096229553,finished
0,3,rtol,0.01,success,completed,0.030418329921765748,603.5589637756348,finished
0,4,rtol,0.01,success,completed,0.022335547519461898,574.2356407642365,finished
0,5,rtol,0.01,success,val_loss_stagnation,0.02072176606267944,613.482262134552,finished
0,6,rtol,0.01,success,completed,0.02495486099794215,651.9967370033264,finished
0,7,rtol,0.01,success,completed,0.02500684369401773,587.1093044281006,finished
1,0,rtol,1e-06,success,val_loss_stagnation,0.007107707785020114,649.7995839118958,finished
1,1,rtol,1e-06,success,val_loss_stagnation,0.008052944360274929,667.6632432937622,finished
1,2,rtol,1e-06,success,val_loss_stagnation,0.008542165441403415,506.09066247940063,finished
1,3,rtol,1e-06,success,val_loss_stagnation,0.007798326781134076,606.7449147701263,finished
1,4,rtol,1e-06,success,val_loss_stagnation,0.00812610049902969,558.2249472141266,finished
1,5,rtol,1e-06,success,val_loss_stagnation,0.008530406689284587,488.5008924007416,finished
1,6,rtol,1e-06,success,val_loss_stagnation,0.00789039367673888,572.7038850784302,finished
1,7,rtol,1e-06,success,val_loss_stagnation,0.00858989754905566,545.493011713028,finished
2,0,rtol,1e-05,success,val_loss_stagnation,0.007296548102501542,514.4980680942535,finished
2,1,rtol,1e-05,success,val_loss_stagnation,0.008496057311440704,481.41865849494934,finished
2,2,rtol,1e-05,success,val_loss_stagnation,0.007826434742073556,742.46004986763,finished
2,3,rtol,1e-05,success,val_loss_stagnation,0.007832431095830166,617.7932255268097,finished
2,4,rtol,1e-05,success,val_loss_stagnation,0.008303649192690221,553.1811780929565,finished
2,5,rtol,1e-05,success,val_loss_stagnation,0.00833159649404194,535.9342424869537,finished
2,6,rtol,1e-05,success,val_loss_stagnation,0.00806613737164933,534.748363494873,finished
2,7,rtol,1e-05,success,val_loss_stagnation,0.0077641722333141455,533.7496705055237,finished
3,0,rtol,0.001,success,val_loss_stagnation,0.007407845426565041,535.1360795497894,finished
3,1,rtol,0.001,success,val_loss_stagnation,0.00819998506075803,530.0514557361603,finished
3,2,rtol,0.001,success,val_loss_stagnation,0.008300066691035399,572.728880405426,finished
3,3,rtol,0.001,success,val_loss_stagnation,0.008077663309431481,567.1594491004944,finished
3,4,rtol,0.001,success,val_loss_stagnation,0.007923273379092897,589.9912886619568,finished
3,5,rtol,0.001,success,val_loss_stagnation,0.007916536773550571,593.3444986343384,finished
3,6,rtol,0.001,success,val_loss_stagnation,0.00776475182726459,525.6920659542084,finished
3,7,rtol,0.001,success,val_loss_stagnation,0.00839496812484365,581.9113600254059,finished
4,0,rtol,0.0001,success,val_loss_stagnation,0.007153156354305977,572.4148080348969,finished
4,1,rtol,0.0001,success,val_loss_stagnation,0.008315503095124232,643.4407124519348,finished
4,2,rtol,0.0001,success,val_loss_stagnation,0.008174030381405397,712.6109411716461,finished
4,3,rtol,0.0001,success,val_loss_stagnation,0.008023721263345301,513.762008190155,finished
4,4,rtol,0.0001,success,val_loss_stagnation,0.008176976845443737,585.8636603355408,finished
4,5,rtol,0.0001,success,val_loss_stagnation,0.00832153295126346,539.7060468196869,finished
4,6,rtol,0.0001,success,val_loss_stagnation,0.008006267314210764,516.562050819397,finished
4,7,rtol,0.0001,success,val_loss_stagnation,0.00877287816632366,474.4833059310913,finished
