config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol
0,0,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,1,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,2,failed,inf,inf,,,,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,3,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,4,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,5,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,6,failed,inf,inf,,,unknown,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
0,7,failed,inf,inf,,,,73,1,True,0.1,128,1e-05,Euler,0.0,0.0001,0.00015,2e-06
1,0,success,0.0073846917965008,7.291192750231599e-05,4104.87993812561,1301.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
1,1,success,0.0088343325381527,7.942733566158893e-05,3206.972159385681,1001.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
1,2,success,0.0081859535198549,6.187315951513244e-05,3933.918611526489,1251.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
1,3,success,0.0080361195843587,6.545778392514296e-05,5663.121643543243,1251.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
1,4,success,0.0085537487927522,7.007420853621166e-05,3334.828640460968,1051.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
1,5,success,0.0080935695662182,6.535140707176501e-05,3638.229927778244,1251.0,val_loss_stagnation,73,1,True,0.1,128,1e-05,Kvaerno5,0.0,0.0001,0.00015,2e-06
