config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol
0,0,success,0.0078786576715253,8.160289277414663e-05,523.6999027729034,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,1,success,0.008885395510369,7.925938415103399e-05,472.9200441837311,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,2,success,0.008311687934274,6.616021563953867e-05,562.205127954483,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,3,success,0.0086354198850017,7.557944435321013e-05,598.8451116085052,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,4,success,0.0084019340961291,6.65317010290714e-05,546.118643283844,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,5,success,0.0081586577793631,6.85190584896561e-05,695.9173333644867,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,6,success,0.0080999795547307,6.157568334860388e-05,652.1190662384033,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
0,7,success,0.0084529099228118,6.3251010549495e-05,609.6467437744141,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.001,0.0001,0.001,1e-05
1,0,success,0.0081797161371173,8.768673168853847e-05,527.2819426059723,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,1,success,0.0086104988485585,7.428394784284385e-05,561.5769009590149,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,2,success,0.0088547133718377,7.253608055179697e-05,536.0878539085388,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,3,success,0.0080786957666519,6.635355275099361e-05,524.8853590488434,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,4,success,0.0087497788180828,7.195018711805697e-05,584.8266570568085,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,5,success,0.0087486114082318,7.63267191214665e-05,477.6968855857849,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,6,success,0.008238464979454,6.230563727719856e-05,540.2289679050446,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
1,7,success,0.0083975662625372,6.266241153813062e-05,672.3817980289459,1451,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-07,0.0001,0.001,1e-05
2,0,success,0.0079083244840696,8.079805078413344e-05,538.2203071117401,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,1,success,0.0082488244295356,6.919089545175516e-05,664.9173860549927,1451,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,2,success,0.0083662931362949,6.419841448499342e-05,540.779611825943,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,3,success,0.0083025067474919,7.090549389777962e-05,603.3327090740204,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,4,success,0.0086119200151373,6.90769728172147e-05,525.8652577400208,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,5,success,0.0082247490551788,6.889055214972142e-05,477.9743328094482,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,6,success,0.0084562369704973,6.603723831165005e-05,618.1010112762451,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
2,7,success,0.0083388882631479,6.375507140651756e-05,537.5120270252228,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.001,1e-05
3,0,success,0.0076337983658063,7.569038549857989e-05,592.576385974884,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,1,success,0.0084993702091093,7.372208256992356e-05,593.2352538108826,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,2,success,0.0083940802549494,6.593750157397211e-05,590.7128565311432,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,3,success,0.00792438498392,6.411103154643035e-05,703.8350105285645,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,4,success,0.0088876842435425,7.426620895985743e-05,532.2791628837585,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,5,success,0.0081497692157044,6.690593630249254e-05,648.0420067310333,1451,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,6,success,0.0085627191407499,6.806090200811639e-05,544.3408966064453,1101,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
3,7,success,0.0089977045236448,7.336734382834579e-05,596.6538774967194,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-05,0.0001,0.001,1e-05
4,0,success,0.0076826773142165,7.831356823330558e-05,590.4469606876373,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,1,success,0.0084347243136337,7.090428471471645e-05,653.641209602356,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,2,success,0.0087286631011625,7.07019642774766e-05,658.2759521007538,1401,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,3,success,0.0083048962746956,6.863353892611969e-05,629.3508520126343,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,4,success,0.0085194930157596,6.743839678661943e-05,544.8419601917267,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,5,success,0.0081407181502482,6.702102722804146e-05,547.6999561786652,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,6,success,0.008203737194604,6.2973181473843e-05,542.4787864685059,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
4,7,success,0.0086115850513691,6.820615224973133e-05,411.4739191532135,1051,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,0.0001,0.0001,0.001,1e-05
5,0,success,0.0074909178532423,7.384228223389972e-05,479.45222306251526,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,1,success,0.009050487088093,8.167071167269073e-05,549.9957194328308,1201,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,2,success,0.0087730057919776,7.090811616752103e-05,530.1473715305328,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,3,success,0.0086569522254952,7.589619115070158e-05,523.8897585868835,1151,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,4,success,0.0087077905168563,7.034637139938279e-05,600.2732808589935,1251,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,5,success,0.008587335758525,7.441756259623367e-05,526.7396302223206,1301,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,6,success,0.0075215006773511,5.347107826932009e-05,566.4243314266205,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
5,7,success,0.0083651710482463,6.222375707891692e-05,542.5828609466553,1351,val_loss_stagnation,73,1,True,0.1,128,1e-05,Tsit5,1e-06,0.0001,0.001,1e-05
