config_id,status,test_rmse,training_time,std_test_score,rank,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree
761,success,0.0008449776796624064,1.0709625720977782,0.00014857543018277042,1,0.6,0.01,0.0,500,6,0.05,0.0,1.0
133,success,0.0008663353160955012,1.1040202617645263,0.00015872402637070053,2,0.7,1.0,0.0,800,8,0.1,0.0,1.0
244,success,0.0008725653984583914,4.165423059463501,0.00015328118378049788,3,0.9,1.0,1e-05,800,10,0.01,0.0,1.0
132,success,0.0008997247787192464,0.7730939388275146,0.0001135273658380851,4,0.8,0.0,0.0,500,5,0.1,0.0,1.0
616,success,0.0009465996874496341,3.223159980773926,0.00015440199508135727,5,0.7,0.0,0.01,800,8,0.01,0.0,1.0
301,success,0.000950668251607567,2.7765942096710203,0.00012746182536236864,6,1.0,0.01,1e-05,800,6,0.01,0.0,1.0
676,success,0.0009526721318252384,0.9773753166198731,0.0001854763073412409,7,0.6,0.0,0.0,500,10,0.1,0.0,1.0
121,success,0.0009778355597518384,1.0899877071380615,0.00011367805434308956,8,0.6,0.01,0.01,500,5,0.05,0.0,1.0
406,success,0.0009834018419496715,1.2514598369598389,6.433176676706094e-05,9,0.8,0.0,0.0,1000,4,0.2,0.0,1.0
811,success,0.0009869396686553954,1.450537919998169,7.875799991017562e-05,10,0.7,0.01,0.0,800,4,0.05,0.0,1.0
477,success,0.0009869618574157358,1.629751968383789,0.00013448460344045064,11,0.7,0.1,0.0,1000,6,0.05,0.0,0.9
392,success,0.0009927492006681859,0.672450065612793,0.00012000117138140347,12,1.0,0.01,0.0,500,5,0.2,0.0,1.0
863,success,0.00103837609058246,1.8252117156982421,0.00012233725871043782,13,0.7,0.0,0.0,1000,5,0.05,0.0,0.8
47,success,0.0010396113037131726,0.6485801219940186,0.00013267830394473156,14,0.7,0.0,0.01,500,5,0.2,0.0,1.0
123,success,0.001050490268971771,1.2277347564697265,8.789855262401829e-05,15,0.6,0.0,0.01,800,4,0.1,0.0,1.0
540,success,0.0010863915784284472,1.2596564292907715,8.192802171908911e-05,16,0.9,1e-05,0.01,1000,4,0.1,0.0,1.0
831,success,0.001102972123771906,2.0879945755004883,0.00011068469230541974,17,0.6,1.0,1e-05,1000,5,0.05,0.0,0.7
493,success,0.001105039124377072,1.702285146713257,0.00011794960350053642,18,0.6,1.0,0.0,800,6,0.05,0.0,0.8
604,success,0.0011461957124993204,3.3947425365447996,0.00011890283802105113,19,0.8,0.0,1e-05,1000,6,0.01,0.0,0.8
564,success,0.0011488607851788402,2.571184015274048,0.00015259348013637377,20,1.0,0.0,0.01,500,8,0.01,0.0,1.0
374,success,0.0011504856403917075,3.5722130298614503,0.00012961474187817517,21,0.8,0.01,0.01,1000,8,0.01,0.0,0.9
342,success,0.001154243154451251,1.6385344028472901,0.00013320837236345412,22,0.7,0.1,0.0,1000,6,0.05,0.0,0.8
258,success,0.0011545237619429826,0.8404331684112549,8.347670649921973e-05,23,0.7,0.1,0.0,500,4,0.1,0.0,0.8
414,success,0.0011575334705412389,1.6589364051818847,0.00012675444475188476,24,0.7,1e-05,0.0,1000,6,0.05,0.0,0.8
964,success,0.001159190433099866,1.9754757404327392,0.0001293387469812406,25,0.7,0.01,1e-05,1000,6,0.05,0.0,0.8
851,success,0.0011619868222624064,0.5537863731384277,7.322250611104558e-05,26,0.6,1.0,0.01,200,4,0.1,0.0,1.0
149,success,0.001169123244471848,0.8201345443725586,7.270952565453953e-05,27,0.7,0.0,0.0,500,4,0.1,0.0,0.8
685,success,0.0011726828990504146,1.1361965179443358,0.00012808452477905437,28,0.7,0.01,1e-05,500,6,0.05,0.0,0.8
423,success,0.0011825932655483485,0.32048921585083007,0.00011117360403453374,29,0.7,0.0,0.0,100,5,0.1,0.0,0.9
23,success,0.0011828142683953046,0.9395380020141602,8.837821759396588e-05,30,1.0,0.0,1e-05,800,4,0.05,0.0,0.9
815,success,0.0011829976690933108,0.9998798370361328,0.00010440059562510173,31,1.0,0.01,0.0,800,5,0.1,0.0,0.9
925,success,0.0011876337230205536,1.30905122756958,0.00012687388680443344,32,0.6,0.01,0.0,500,6,0.05,0.0,0.8
227,success,0.0011989739257842302,0.2647953987121582,7.036686645884541e-05,33,0.7,1e-05,0.0,100,5,0.2,0.0,0.9
114,success,0.0012125491863116621,2.1790065288543703,9.815272773896301e-05,34,0.7,0.0,0.0,800,5,0.01,0.0,0.8
660,success,0.001217008731327951,1.135737419128418,0.0001301621472141118,35,0.8,0.1,1e-05,500,6,0.05,0.0,0.8
356,success,0.001222248305566609,0.36557278633117674,0.00012557980298721663,36,0.8,1e-05,1e-05,100,6,0.1,0.0,0.9
965,success,0.0012282214360311628,1.7343767642974854,9.938488132455501e-05,37,0.7,0.1,1e-05,1000,4,0.1,0.0,0.6
118,success,0.0012349615106359124,3.075400972366333,0.00010546759492408856,38,1.0,1e-05,1e-05,1000,6,0.01,0.0,0.8
908,success,0.001236854144372046,1.474975347518921,8.173529057218467e-05,39,0.8,1.0,0.0,800,4,0.05,0.0,0.7
413,success,0.0012400093488395213,0.8783170223236084,7.415621890357264e-05,40,0.6,0.01,0.0,500,4,0.1,0.0,0.7
168,success,0.0012448514578863978,1.756764793395996,8.080027471441675e-05,41,0.6,0.0,1e-05,800,4,0.01,0.0,1.0
836,success,0.0012881849193945526,1.3342512130737305,9.190296687055138e-05,42,0.8,0.01,0.0,800,4,0.1,0.0,0.6
14,success,0.0012959940591827034,1.2603827476501466,7.811735783207282e-05,43,0.6,1.0,0.01,800,4,0.05,0.0,0.7
93,success,0.0013003552565351128,1.1912539958953858,8.389447826851018e-05,44,0.8,0.01,0.01,1000,5,0.1,0.0,0.8
834,success,0.0013610852882266044,1.1210798263549804,8.073094404696702e-05,45,0.8,0.01,1e-05,500,5,0.05,0.0,0.6
566,success,0.001366063836030662,1.05310959815979,7.608590746321953e-05,46,0.6,1.0,0.01,500,6,0.1,0.0,0.8
788,success,0.001371126901358366,1.024413776397705,7.896432866847179e-05,47,0.9,0.0,0.01,800,4,0.2,0.0,0.7
77,success,0.0013739715097472072,1.1962711811065674,6.658087654835587e-05,48,0.9,0.1,0.0,1000,5,0.1,0.0,0.6
681,success,0.0013755009975284338,1.2996785640716553,5.507277001922824e-05,49,0.6,0.1,0.01,800,3,0.1,0.0,1.0
408,success,0.0013768316246569156,2.198584508895874,8.04206192725789e-05,50,0.8,1.0,1e-05,1000,4,0.01,0.0,0.8
167,success,0.0013773134676739573,0.9052774906158447,0.00010626075667165879,51,0.9,0.1,0.01,500,5,0.05,0.0,0.7
773,success,0.0013819679152220488,1.2850584030151366,5.475842009299675e-05,52,0.6,0.01,1e-05,800,5,0.2,0.0,0.6
678,success,0.0014142626896500587,4.3836588859558105,0.00010316322181887479,53,0.7,0.0,1e-05,500,10,0.01,0.0,0.9
837,success,0.0014178891433402896,1.184917116165161,5.55588348165028e-05,54,1.0,0.01,1e-05,1000,4,0.2,0.0,0.8
779,success,0.0014212024863809348,0.4884515285491943,0.00010271841975217786,55,0.6,0.0,0.0,100,6,0.05,0.0,0.9
173,success,0.0014319745590910316,0.570933485031128,0.00012244922465826997,56,0.9,1e-05,0.1,200,8,0.05,0.0,1.0
776,success,0.0014529315754771232,0.8878485202789307,5.332531226303943e-05,57,1.0,1.0,0.0,800,4,0.2,0.0,0.7
296,success,0.0014596331864595413,0.5576910972595215,0.00011620786472293258,58,1.0,0.0,0.1,500,8,0.2,0.0,1.0
618,success,0.0014601276256144048,0.32470169067382815,6.10546479335327e-05,59,0.9,0.0,1e-05,100,5,0.1,0.0,0.8
802,success,0.0014724553097039462,4.408758544921875,0.00010071132232475367,60,0.9,1e-05,0.0,800,8,0.01,0.0,0.8
613,success,0.0014797683572396636,2.6168827533721926,0.00010062300082197618,61,0.9,0.01,0.01,1000,5,0.01,0.0,0.7
619,success,0.0014816471841186285,2.824343729019165,9.279881867816373e-05,62,0.8,0.1,1e-05,800,6,0.01,0.0,0.7
94,success,0.001483905571512878,0.41229887008666993,4.050716878300133e-05,63,0.7,0.1,1e-05,200,5,0.2,0.0,0.6
152,success,0.00149135896936059,1.001903200149536,7.52497922242228e-05,64,0.9,1.0,0.01,800,3,0.1,0.0,0.8
243,success,0.0015115327434614301,0.4087331295013428,5.1971403375248874e-05,65,0.8,1.0,0.0,200,6,0.2,0.0,0.8
2,success,0.0015121401520445943,0.19472947120666503,7.44580953110013e-05,66,0.8,1e-05,0.01,100,4,0.2,0.0,0.8
923,success,0.0015124165453016757,1.3646253108978272,2.2361774512893448e-05,67,0.6,0.1,0.0,800,6,0.2,0.0,0.8
839,success,0.0015223695896565913,0.6821593284606934,9.904056471291833e-05,68,1.0,0.0,0.0,500,3,0.1,0.0,1.0
928,success,0.0015264605637639761,1.2217495441436768,8.750866534794917e-05,69,1.0,0.01,0.0,1000,3,0.1,0.0,0.9
633,success,0.0015275831799954176,1.6033058643341065,4.851715669222966e-05,70,0.8,1.0,1e-05,1000,10,0.1,0.0,0.9
857,success,0.0015280837891623379,1.614591360092163,7.487642561495286e-05,71,0.8,1e-05,0.0,1000,3,0.1,0.0,0.6
558,success,0.0015402246499434114,2.622925567626953,8.700699493971272e-05,72,1.0,0.0,0.0,800,5,0.01,0.0,0.7
730,success,0.0015410874970257283,1.7557002067565919,8.544289912091306e-05,73,0.7,0.1,1e-05,1000,3,0.05,0.0,0.7
569,success,0.0015465780859813094,0.41347131729125974,8.08462606237059e-05,74,0.9,1.0,0.0,100,4,0.1,0.0,0.8
